IDs,Frame,Center_position_x_MICRON,Ellipse_center_x_MICRON,Center_position_y_MICRON,Ellipse_center_y_MICRON,Perimeter_MICRON,Surface_area_MICRON^2,Convex_hull_area_MICRON^2,Solidity,Length_MICRON,Ellipse_major_axis_MICRON,Width_MICRON,Ellipse_minor_axis_MICRON,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
351,0,8.19,8.19,22.55,22.57,9.49,3.16,3.41,0.92,4.04,3.61,0.81,0.78,4.96,4.63,2.66,152.2,153.8,8106,15239,10007.13
352,0,112.97,112.98,22.36,22.41,7.05,2.32,2.48,0.93,2.92,2.57,0.79,0.79,3.69,3.25,0.2,11.56,14.08,7432,13092,8926.84
353,0,15.86,15.91,23.01,23.07,6.69,2.13,2.25,0.94,2.78,2.48,0.76,0.75,3.66,3.31,2.14,122.57,127.81,8340,15676,10524.41
355,0,2.47,2.54,22.49,22.52,9.11,3.01,3.34,0.9,3.89,3.53,0.79,0.77,4.92,4.57,0.17,9.62,5.85,8083,15455,10081.0
356,0,114.92,114.97,22.69,22.74,7.27,2.41,2.56,0.94,3.02,2.68,0.82,0.78,3.68,3.43,0.33,18.82,15.42,7193,12817,8956.36
357,0,6.24,6.26,22.82,22.84,8.92,2.96,3.18,0.93,3.8,3.46,0.76,0.76,5.0,4.57,2.85,163.11,167.07,7852,16008,9837.65
358,0,10.86,10.91,22.82,22.87,7.71,2.48,2.69,0.92,3.21,2.89,0.68,0.77,4.73,3.77,2.83,162.3,163.5,7808,15185,10090.65
359,0,13.97,14.02,23.01,23.02,7.11,2.21,2.37,0.93,2.97,2.62,0.7,0.74,4.24,3.53,2.69,154.0,153.81,8190,15653,10342.98
360,0,77.55,77.59,23.66,23.7,7.42,2.45,2.62,0.94,3.07,2.74,0.78,0.79,3.92,3.46,1.49,85.14,79.65,7205,13210,8762.53
361,0,30.94,30.97,24.57,24.58,10.84,4.0,4.37,0.91,4.76,4.34,0.84,0.84,5.63,5.19,1.5,86.08,85.78,7316,12587,8732.66
362,0,23.6,23.66,23.14,23.14,8.23,2.53,2.78,0.91,3.43,3.11,0.7,0.73,4.9,4.25,2.71,155.38,158.92,8270,15136,10132.21
363,0,43.68,43.73,23.92,23.97,7.31,2.21,2.44,0.9,3.12,2.81,0.66,0.71,4.71,3.95,1.78,102.01,98.2,7205,14196,9536.69
364,0,61.95,62.01,23.53,23.53,11.19,4.01,4.44,0.9,4.83,4.41,0.76,0.84,6.35,5.25,2.84,162.78,165.36,7046,11997,8499.53
365,0,110.24,110.3,23.34,23.36,6.95,2.25,2.41,0.94,2.84,2.52,0.8,0.78,3.53,3.21,0.28,15.95,20.31,7446,13853,9068.38
366,0,42.84,42.88,24.44,24.5,8.42,2.74,3.0,0.91,3.61,3.27,0.66,0.75,5.45,4.33,1.81,103.54,100.44,7303,14674,9507.0
367,0,44.79,44.77,25.8,25.83,13.63,4.77,5.3,0.9,6.24,5.78,0.72,0.78,8.73,7.44,1.59,91.19,90.92,7445,14452,9424.62
368,0,5.27,5.3,23.53,23.53,9.43,3.28,3.5,0.94,4.12,3.68,0.79,0.79,5.21,4.66,2.93,168.16,170.26,7437,14041,9333.37
369,0,68.64,68.67,23.46,23.52,9.72,3.57,3.88,0.92,4.22,3.81,0.79,0.84,5.34,4.51,2.97,170.25,172.75,7312,13481,8927.23
370,0,112.06,112.07,23.6,23.61,7.43,2.34,2.52,0.93,3.09,2.75,0.76,0.75,4.06,3.67,0.39,22.25,18.98,7806,13710,9445.45
372,0,13.71,13.77,23.79,23.84,7.17,2.18,2.34,0.93,2.99,2.67,0.76,0.72,3.95,3.68,2.67,152.88,156.21,8102,14654,10022.71
373,0,20.41,20.47,23.46,23.5,8.47,2.89,3.05,0.95,3.67,3.33,0.73,0.77,5.05,4.34,3.02,172.87,177.96,8476,16039,10605.95
374,0,120.06,120.06,26.13,26.17,13.71,4.94,5.5,0.9,6.07,5.66,0.73,0.82,8.35,6.95,1.4,80.13,81.66,7145,14376,8953.47
375,0,23.86,23.9,24.18,24.22,7.85,2.55,2.73,0.93,3.31,2.96,0.76,0.76,4.37,3.9,2.65,151.93,151.46,7948,14960,10241.85
376,0,9.36,9.37,24.12,24.16,10.86,3.8,4.22,0.9,4.78,4.33,0.73,0.8,6.58,5.4,0.12,7.03,5.49,7379,15259,9487.0
377,0,16.12,16.14,24.7,24.71,6.35,1.98,2.12,0.93,2.67,2.34,0.76,0.74,3.52,3.16,2.17,124.08,126.14,8122,14796,10241.93
378,0,72.73,72.79,24.44,24.48,9.86,3.41,3.76,0.91,4.18,3.77,0.76,0.82,5.49,4.61,2.78,159.03,161.56,7669,14366,9431.49
379,0,28.21,28.27,26.0,26.01,16.22,6.71,7.5,0.89,7.27,6.51,0.79,0.98,9.16,6.67,2.52,144.46,144.37,7463,14501,9100.62
380,0,46.28,46.34,25.61,25.62,9.33,3.21,3.44,0.93,3.97,3.61,0.79,0.79,5.01,4.57,1.39,79.61,78.18,7520,13853,9146.09
381,0,18.72,18.75,24.18,24.22,7.29,2.3,2.48,0.93,3.07,2.73,0.72,0.75,4.27,3.64,3.06,175.14,173.29,8128,15426,10199.08
382,0,40.62,40.67,25.03,25.04,7.85,2.84,2.95,0.96,3.36,3.01,0.83,0.83,4.06,3.65,0.83,47.35,47.39,7388,13239,8947.78
