IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
699,0,1116,1116.16,1732,1732.09,81.11,390,406.0,0.96,32.25,27.85,14.14,11.96,2.28,2.33,3.02,172.87,171.14,1537,2366,1899.12
700,0,759,759.19,1751,1751.51,106.18,523,556.0,0.94,45.12,39.25,11.18,11.56,4.04,3.4,1.79,102.8,101.12,1579,2406,1873.42
701,0,1218,1218.3,1750,1750.89,133.82,729,772.0,0.94,57.49,51.4,12.81,12.43,4.49,4.14,0.7,40.06,43.42,1591,2551,1899.71
702,0,1355,1355.07,1750,1750.9,90.91,461,483.0,0.95,37.44,31.8,13.04,12.42,2.87,2.56,0.98,55.89,57.15,1592,2581,1985.89
703,0,1405,1405.21,1755,1755.67,89.01,435,460.0,0.95,35.74,30.94,12.65,12.07,2.83,2.56,1.26,72.07,71.17,1665,2572,1984.73
704,0,179,179.88,1750,1751.11,150.18,858,934.0,0.92,65.49,58.17,12.17,13.35,5.38,4.36,3.02,172.98,175.44,1585,2575,1903.74
705,0,1417,1418.03,1765,1765.52,102.18,507,535.0,0.95,42.76,37.59,12.17,11.81,3.51,3.18,1.38,79.22,78.63,1657,2482,1942.02
706,0,112,113.03,1761,1761.11,153.54,836,911.0,0.92,65.92,58.11,12.65,12.78,5.21,4.55,0.39,22.29,22.01,1526,2451,1864.54
707,0,1134,1133.96,1765,1765.96,150.99,819,931.0,0.88,66.04,56.86,9.43,13.87,7.0,4.1,2.58,147.99,145.46,1623,2448,1900.99
708,0,997,997.25,1768,1768.24,95.36,477,503.0,0.95,39.29,34.34,12.65,11.97,3.11,2.87,1.83,104.74,103.47,1600,2195,1836.02
709,0,263,263.39,1762,1762.72,112.91,588,619.0,0.95,47.76,41.68,12.65,12.26,3.78,3.4,0.34,19.57,18.57,1555,2251,1823.69
710,0,197,197.92,1767,1767.98,151.84,841,905.0,0.93,66.12,58.82,10.0,13.01,6.61,4.52,0.06,3.47,0.82,1609,2678,1941.01
711,0,1602,1602.6,1789,1789.7,135.01,640,690.0,0.93,59.67,52.75,10.2,10.73,5.85,4.92,1.33,76.43,78.38,1582,2485,1957.43
712,0,1368,1368.48,1780,1780.3,99.15,514,539.0,0.95,41.62,35.63,13.6,12.51,3.06,2.85,2.19,125.22,123.39,1656,2646,2029.25
713,0,144,144.53,1775,1775.22,99.84,495,528.0,0.94,41.44,35.73,11.7,11.98,3.54,2.98,0.34,19.75,20.15,1599,2470,1946.26
714,0,1272,1272.21,1797,1797.95,147.94,775,840.0,0.92,65.28,58.69,11.05,11.73,5.91,5.0,1.66,95.27,91.01,1624,2427,1905.39
715,0,1330,1330.43,1783,1783.35,93.4,463,488.0,0.95,38.83,33.42,13.04,11.92,2.98,2.8,0.97,55.49,53.77,1566,2539,1962.95
716,0,1198,1198.46,1783,1783.63,116.95,603,642.0,0.94,49.93,43.84,10.82,11.95,4.62,3.67,0.57,32.74,33.01,1713,2549,2027.79
717,0,1345,1345.89,1787,1787.81,94.18,455,482.0,0.94,38.08,33.53,12.37,11.76,3.08,2.85,1.33,76.33,73.36,1631,2565,2034.22
718,0,1176,1176.65,1781,1781.45,86.67,400,426.0,0.94,34.99,30.46,11.66,11.31,3.0,2.69,0.54,30.96,28.24,1671,2483,1972.88
719,0,1237,1237.31,1791,1791.2,119.2,625,663.0,0.94,51.4,44.71,12.81,12.18,4.01,3.67,2.22,127.09,128.51,1550,2527,1928.32
720,0,1622,1622.6,1788,1788.13,85.11,382,405.0,0.94,34.93,30.57,11.18,10.84,3.12,2.82,1.34,76.76,76.91,1584,2395,1893.41
721,0,1777,1777.96,1794,1794.51,111.84,501,537.0,0.93,48.38,42.31,10.44,10.3,4.63,4.11,1.26,71.94,73.88,1579,2084,1804.29
722,0,425,425.57,1797,1797.55,140.99,758,837.0,0.91,61.22,54.02,10.0,12.96,6.12,4.17,2.24,128.37,129.57,1528,2490,1880.0
723,0,1395,1395.01,1789,1789.93,86.77,407,434.0,0.94,35.17,30.1,13.6,11.59,2.59,2.6,1.31,75.17,77.25,1616,2527,1949.8
724,0,1202,1202.0,1804,1804.71,104.47,498,533.0,0.93,43.57,38.31,10.3,11.47,4.23,3.34,1.01,58.13,57.34,1627,2509,1971.4
725,0,123,123.77,1797,1797.39,110.57,566,597.0,0.95,46.82,40.09,13.0,12.24,3.6,3.28,0.35,19.98,22.78,1597,2441,1907.94
726,0,1108,1108.29,1793,1793.9,130.28,714,767.0,0.93,56.08,50.19,12.0,12.78,4.67,3.93,0.05,3.07,1.58,1598,2346,1872.55
727,0,556,556.02,1812,1812.85,118.53,601,653.0,0.92,50.64,45.11,11.18,11.81,4.53,3.82,1.41,80.91,83.28,1580,2233,1825.8
728,0,1001,1001.51,1806,1806.7,90.87,423,438.0,0.97,39.12,33.36,12.04,10.93,3.25,3.05,1.49,85.6,87.63,1587,2202,1854.74
729,0,1583,1584.47,1826,1826.73,154.18,825,932.0,0.89,68.36,60.02,11.18,13.3,6.11,4.51,1.67,95.88,94.21,1572,2502,1898.01
730,0,1295,1295.06,1824,1824.85,130.87,711,758.0,0.94,57.31,51.38,12.17,12.13,4.71,4.23,1.47,83.99,88.91,1602,2458,1927.77
731,0,1324,1324.0,1819,1819.37,94.77,451,475.0,0.95,40.02,34.73,12.17,11.17,3.29,3.11,1.8,102.99,102.59,1572,2407,1914.21
732,0,88,88.71,1818,1818.4,94.23,447,475.0,0.94,38.42,33.88,11.4,11.48,3.37,2.95,0.9,51.34,54.76,1616,2306,1868.49
733,0,1610,1610.11,1819,1819.56,83.74,366,389.0,0.94,34.13,29.78,11.66,10.55,2.93,2.82,1.02,58.17,58.76,1697,2500,1961.22
734,0,402,402.82,1812,1812.09,114.87,630,655.0,0.96,49.16,43.4,13.04,12.67,3.77,3.43,3.06,175.33,176.32,1615,2439,1870.2
735,0,619,619.3,1822,1822.49,115.64,589,628.0,0.94,48.75,42.8,10.77,12.02,4.53,3.56,0.45,25.51,25.92,1572,2180,1815.19
736,0,1935,1935.75,1832,1832.3,157.05,795,895.0,0.89,68.01,59.75,10.44,12.5,6.51,4.78,2.84,162.9,162.87,1597,2189,1825.42
737,0,1103,1103.24,1827,1827.82,117.7,642,685.0,0.94,50.25,45.03,12.04,12.65,4.17,3.56,3.04,174.29,176.73,1605,2340,1874.24
738,0,976,976.01,1838,1838.53,99.15,492,521.0,0.94,39.96,34.97,11.66,12.18,3.43,2.87,2.12,121.7,117.72,1547,2300,1852.54
739,0,463,463.32,1836,1836.07,74.53,336,355.0,0.95,29.73,25.4,12.65,11.25,2.35,2.26,1.91,109.65,107.77,1557,2214,1835.68
740,0,117,117.36,1851,1851.88,128.81,699,758.0,0.92,53.85,47.66,11.7,13.01,4.6,3.66,1.95,111.8,111.0,1547,2305,1838.24
741,0,210,210.93,1861,1861.41,168.02,889,972.0,0.91,73.54,65.55,10.77,12.15,6.83,5.39,1.18,67.62,67.66,1569,2261,1822.48
742,0,736,736.68,1848,1848.55,111.78,628,655.0,0.96,47.63,41.57,12.81,13.18,3.72,3.15,2.25,129.04,130.65,1595,2274,1839.7
743,0,66,66.54,1849,1849.72,94.23,465,491.0,0.95,38.42,33.45,12.81,12.02,3.0,2.78,0.9,51.34,53.03,1550,2371,1867.23
744,0,1244,1243.98,1861,1861.04,126.43,649,706.0,0.92,54.92,48.27,11.18,12.04,4.91,4.01,1.39,79.51,80.52,1595,2495,1909.53
746,0,846,846.66,1844,1844.58,123.7,643,696.0,0.92,53.46,47.58,12.17,12.07,4.39,3.94,3.01,172.48,174.52,1599,2350,1855.6
747,0,1278,1278.76,1855,1856.0,80.43,385,405.0,0.95,31.62,27.37,12.65,12.1,2.5,2.26,1.25,71.57,66.41,1614,2389,1928.05
748,0,1696,1696.48,1858,1858.8,86.53,384,408.0,0.94,36.4,31.27,10.2,10.5,3.57,2.98,1.85,105.95,104.27,1542,2145,1818.71
749,0,1127,1127.19,1849,1849.41,91.11,464,489.0,0.95,37.34,32.34,13.15,12.41,2.84,2.61,0.13,7.7,6.69,1601,2398,1865.79
750,0,39,39.85,1860,1860.71,91.84,460,486.0,0.95,37.34,32.45,13.0,12.3,2.87,2.64,1.22,69.62,67.88,1591,2369,1842.97
751,0,1992,1992.68,1855,1855.21,93.7,454,480.0,0.95,39.46,34.12,12.17,11.46,3.24,2.98,2.99,171.25,174.1,1560,2219,1805.38
752,0,473,473.91,1863,1863.85,75.6,343,363.0,0.94,29.73,25.8,11.7,11.39,2.54,2.26,1.91,109.65,114.69,1559,2240,1860.69
753,0,833,833.29,1875,1875.18,117.36,614,665.0,0.92,49.48,44.08,11.18,12.39,4.43,3.56,1.82,104.04,100.33,1597,2338,1875.01
754,0,1407,1407.53,1863,1863.44,90.08,451,472.0,0.96,36.89,31.45,13.04,12.29,2.83,2.56,0.57,32.83,30.85,1605,2247,1849.55
755,0,758,758.95,1877,1877.29,103.94,486,531.0,0.92,43.74,38.55,11.18,11.19,3.91,3.45,1.39,79.46,80.22,1608,2241,1859.93
756,0,1071,1071.82,1868,1868.2,103.15,537,564.0,0.95,42.95,37.26,13.42,12.5,3.2,2.98,2.71,155.22,154.3,1591,2303,1856.48
757,0,426,426.57,1878,1878.34,128.51,682,728.0,0.94,55.44,49.03,10.0,12.3,5.54,3.99,2.46,140.86,139.92,1562,2365,1850.97
758,0,1024,1024.63,1880,1879.79,153.54,833,924.0,0.9,65.55,58.17,10.77,13.32,6.09,4.37,2.77,158.52,157.89,1630,2435,1893.12
759,0,969,969.58,1877,1876.99,109.6,559,595.0,0.94,46.32,40.56,12.17,12.03,3.81,3.37,2.9,166.26,167.25,1566,2333,1884.49
760,0,1262,1262.04,1882,1882.19,82.33,408,430.0,0.95,32.45,28.1,13.04,12.41,2.49,2.26,0.98,56.31,51.64,1674,2548,1969.81
761,0,1697,1697.86,1895,1895.15,136.41,668,718.0,0.93,60.31,53.69,10.0,11.06,6.03,4.85,0.87,49.71,50.1,1588,2241,1861.09
762,0,933,933.52,1896,1896.71,120.95,625,687.0,0.91,50.48,44.16,12.21,12.82,4.14,3.44,2.16,123.69,122.49,1552,2290,1835.24
763,0,1207,1207.12,1895,1895.06,118.61,624,660.0,0.95,50.8,44.79,12.81,12.16,3.97,3.68,0.63,36.19,37.16,1586,2454,1897.23
