IDs,Frame,Center_position_x_MICRON,Ellipse_center_x_MICRON,Center_position_y_MICRON,Ellipse_center_y_MICRON,Perimeter_MICRON,Surface_area_MICRON^2,Convex_hull_area_MICRON^2,Solidity,Length_MICRON,Ellipse_major_axis_MICRON,Width_MICRON,Ellipse_minor_axis_MICRON,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
297,0,55.32,55.34,52.45,52.47,7.33,2.53,2.64,0.96,3.1,2.73,0.76,0.81,4.09,3.39,0.99,56.98,55.15,1609,2331,1883.67
298,0,43.88,43.92,53.89,53.9,9.72,3.43,3.76,0.91,4.2,3.75,0.73,0.83,5.78,4.51,1.71,98.0,94.76,1613,2290,1869.99
299,0,61.23,61.24,52.33,52.36,7.39,2.56,2.78,0.92,3.1,2.76,0.79,0.84,3.92,3.3,2.97,170.34,175.61,1645,2523,1959.22
300,0,73.12,73.15,52.91,52.95,7.88,2.83,3.0,0.94,3.31,2.92,0.87,0.85,3.8,3.42,0.49,28.07,29.02,1559,2262,1849.78
301,0,17.81,17.85,52.59,52.59,8.56,3.06,3.26,0.94,3.72,3.37,0.79,0.8,4.7,4.19,3.05,174.99,0.14,1626,2525,1901.31
302,0,41.6,41.63,53.76,53.8,7.29,2.38,2.56,0.93,3.11,2.73,0.79,0.76,3.93,3.59,1.38,79.16,81.65,1562,2255,1850.22
303,0,94.58,94.59,53.3,53.35,5.76,1.83,1.92,0.95,2.36,2.05,0.76,0.77,3.12,2.66,2.12,121.5,119.68,1606,2184,1831.83
304,0,68.9,68.96,54.02,54.06,7.67,2.59,2.75,0.94,3.25,2.84,0.76,0.8,4.27,3.56,1.22,70.11,69.04,1633,2295,1860.15
305,0,115.31,115.37,53.56,53.57,5.69,1.79,1.9,0.94,2.2,1.95,0.88,0.79,2.49,2.46,1.9,108.97,118.35,1587,2250,1823.04
306,0,127.27,127.29,53.69,53.72,5.87,1.93,2.04,0.95,2.41,2.07,0.84,0.8,2.85,2.61,1.62,93.09,89.35,1610,2429,1891.75
307,0,13.91,13.96,53.5,53.53,6.16,1.93,2.04,0.94,2.51,2.21,0.76,0.76,3.31,2.91,2.6,148.78,146.07,1667,2298,1911.48
308,0,63.96,63.98,53.11,53.15,7.3,2.55,2.68,0.95,3.14,2.74,0.79,0.81,3.97,3.41,0.1,5.95,2.33,1631,2438,1924.24
