IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
665,0,974,974.31,1520,1520.51,108.12,598,629.0,0.95,45.34,39.6,12.81,13.15,3.54,3.01,0.72,41.42,41.14,4859,7310,5538.47
666,0,63,64.03,1518,1518.42,84.33,424,442.0,0.96,33.12,28.64,13.89,12.75,2.38,2.25,0.5,28.89,33.97,4799,6596,5528.24
667,0,1995,1995.64,1524,1524.06,124.37,675,718.0,0.94,52.43,46.06,13.04,12.84,4.02,3.59,0.61,34.9,32.69,4914,6760,5439.89
668,0,637,637.29,1527,1527.07,135.1,759,821.0,0.92,57.45,50.61,13.04,13.47,4.41,3.76,2.59,148.52,146.85,4839,6658,5396.35
669,0,418,418.98,1517,1517.38,99.11,519,547.0,0.95,40.8,35.72,13.6,12.66,3.0,2.82,2.84,162.9,168.63,4833,6616,5389.05
670,0,889,889.11,1518,1518.4,94.18,496,522.0,0.95,37.36,32.53,13.6,13.17,2.75,2.47,0.27,15.52,15.92,4844,6650,5372.39
671,0,1164,1164.65,1530,1530.21,81.7,396,413.0,0.96,32.98,28.19,13.6,12.0,2.43,2.35,1.33,75.96,77.73,4669,6344,5343.98
672,0,458,458.26,1524,1524.38,99.7,537,563.0,0.95,41.59,36.28,13.15,12.76,3.16,2.84,0.17,9.69,5.15,4840,7068,5438.9
673,0,1009,1009.87,1534,1534.11,86.67,445,465.0,0.96,34.79,29.76,13.6,12.81,2.56,2.32,1.25,71.57,67.29,4738,6615,5416.75
674,0,1464,1464.8,1534,1534.57,82.38,416,431.0,0.97,32.02,28.41,13.6,12.9,2.35,2.2,1.32,75.53,86.67,4908,7179,5525.15
675,0,25,25.37,1525,1525.59,107.7,588,613.0,0.96,45.18,39.92,13.15,12.8,3.43,3.12,0.09,5.08,1.12,4813,7401,5587.06
676,0,1795,1795.78,1537,1538.01,107.78,606,622.0,0.97,46.1,40.49,12.81,12.99,3.6,3.12,0.86,49.4,47.12,4964,7634,5761.2
677,0,1754,1754.29,1533,1533.96,99.98,502,530.0,0.95,41.88,36.27,12.21,11.97,3.43,3.03,0.58,33.31,32.38,4914,7077,5724.05
678,0,856,856.66,1534,1534.9,93.98,507,529.0,0.96,37.8,33.15,14.21,13.22,2.66,2.51,0.65,37.48,35.27,4805,6590,5406.16
679,0,1502,1502.17,1532,1532.01,140.77,792,861.0,0.92,60.53,53.58,12.17,13.59,4.98,3.94,3.01,172.41,176.82,4823,7399,5685.11
680,0,1721,1721.58,1542,1542.47,110.95,602,632.0,0.95,46.86,41.04,12.81,12.73,3.66,3.23,0.88,50.19,47.01,4792,6861,5469.46
681,0,79,79.76,1540,1540.9,105.98,553,582.0,0.95,43.86,38.35,13.0,12.48,3.37,3.07,0.42,24.23,26.53,4880,6937,5533.65
682,0,1840,1840.47,1549,1549.33,90.77,456,481.0,0.95,37.36,32.01,13.6,12.22,2.75,2.62,1.84,105.52,103.82,4961,7662,5789.42
684,0,943,943.53,1553,1553.77,108.95,605,632.0,0.96,45.22,39.89,12.21,13.16,3.7,3.03,0.96,54.9,52.37,4813,6636,5391.51
685,0,258,258.59,1557,1557.89,110.43,562,604.0,0.93,45.35,40.41,12.37,12.25,3.67,3.3,1.82,104.04,104.11,4894,6463,5409.21
686,0,449,449.73,1556,1556.23,97.94,512,540.0,0.95,40.45,34.9,14.14,12.63,2.86,2.76,1.72,98.53,99.45,4953,6986,5537.57
687,0,1542,1542.49,1553,1553.07,91.84,468,490.0,0.96,37.7,31.98,13.93,12.55,2.71,2.55,1.95,111.8,111.06,4851,7307,5595.66
688,0,1513,1513.56,1550,1550.16,91.25,452,481.0,0.94,37.16,32.14,13.42,12.27,2.77,2.62,0.42,23.81,23.85,4950,7332,5740.61
689,0,1972,1972.19,1558,1558.52,117.44,654,675.0,0.97,50.93,44.64,12.73,12.76,4.0,3.5,0.81,46.59,45.43,4860,6829,5450.44
690,0,1829,1829.37,1564,1563.96,112.43,598,641.0,0.93,47.3,41.46,12.17,12.71,3.89,3.26,1.81,103.45,102.82,4944,7380,5749.05
691,0,1857,1857.27,1564,1564.16,93.11,483,510.0,0.95,37.34,32.57,13.15,12.79,2.84,2.55,1.71,97.7,97.84,4861,7424,5603.08
692,0,583,583.42,1556,1556.29,97.6,491,521.0,0.94,39.4,34.37,13.0,12.39,3.03,2.77,0.42,23.96,18.84,4747,6478,5371.68
