IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
4597,0,1442,1442.85,1633,1633.69,135.58,629,708.0,0.89,58.26,52.76,9.22,11.04,6.32,4.78,0.88,50.57,48.9,5512,7965,6405.71
4598,0,62,62.87,1630,1630.63,93.7,433,466.0,0.93,39.46,34.74,10.2,10.94,3.87,3.18,1.72,98.75,96.35,5517,7964,6451.3
4599,0,79,79.13,1628,1628.48,88.53,398,426.0,0.93,36.06,31.81,11.7,10.84,3.08,2.93,1.23,70.56,74.54,5464,7886,6319.5
4600,0,527,527.69,1626,1626.35,111.54,536,584.0,0.92,46.65,42.17,10.3,11.45,4.53,3.68,0.54,30.96,32.93,5170,8240,6216.44
4601,0,572,572.2,1623,1623.43,100.23,448,482.0,0.93,41.88,36.43,11.66,10.88,3.59,3.35,0.58,33.31,32.7,5336,8274,6377.08
4602,0,364,364.89,1628,1628.64,125.2,611,663.0,0.92,52.7,47.64,11.66,11.52,4.52,4.13,2.56,146.61,148.73,5232,7960,6248.79
4603,0,1756,1756.82,1630,1630.72,90.28,406,432.0,0.94,37.34,33.22,11.18,10.78,3.34,3.08,1.71,97.7,92.55,5312,8183,6304.97
4604,0,1826,1826.88,1628,1628.77,94.23,421,447.0,0.94,40.0,35.19,10.0,10.41,4.0,3.38,0.93,53.13,53.32,5371,8110,6322.76
4605,0,242,242.27,1633,1632.93,140.75,718,808.0,0.89,60.8,53.97,11.4,12.27,5.33,4.4,2.51,143.7,145.24,5279,8367,6383.16
4606,0,492,492.52,1623,1622.89,101.25,456,498.0,0.92,42.45,37.57,9.22,10.95,4.6,3.43,0.26,15.02,16.87,5435,7983,6317.04
4607,0,637,637.19,1630,1630.34,96.91,429,464.0,0.92,39.4,35.73,10.77,10.79,3.66,3.31,1.15,66.04,64.61,5441,7673,6121.89
4608,0,958,958.7,1633,1633.29,109.64,518,562.0,0.92,46.32,40.98,11.66,11.26,3.97,3.64,1.0,57.34,58.13,5293,7929,6320.86
4609,0,1282,1281.89,1640,1640.22,139.88,660,757.0,0.87,59.24,53.29,8.54,11.55,6.93,4.61,1.95,111.8,112.21,5308,8181,6366.94
4610,0,1410,1410.3,1630,1630.0,101.88,483,517.0,0.93,42.8,37.91,11.4,11.29,3.75,3.36,2.22,127.41,127.55,5367,8190,6318.28
4611,0,719,719.53,1632,1632.15,98.91,492,522.0,0.94,40.72,35.4,12.08,12.09,3.37,2.93,1.14,65.32,64.62,5137,7549,5976.96
4612,0,1247,1247.42,1633,1633.87,109.64,538,575.0,0.94,45.28,40.42,11.66,11.69,3.88,3.46,2.1,120.53,120.92,5117,7986,6197.97
