IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
394,0,1003,1003.59,280,280.93,97.46,470,492.0,0.96,41.59,36.8,11.18,11.08,3.72,3.32,1.4,80.31,84.01,5923,9287,7060.52
395,0,1049,1049.06,281,282.03,100.04,515,524.0,0.98,43.05,38.01,12.0,11.81,3.59,3.22,1.62,92.66,90.6,5808,9225,7039.53
396,0,1117,1118.02,273,273.79,72.28,315,336.0,0.94,27.29,23.91,12.17,11.46,2.24,2.09,1.42,81.57,76.47,5978,9031,7022.82
397,0,1543,1543.22,267,267.06,85.46,414,435.0,0.95,34.93,30.49,13.34,11.76,2.62,2.59,2.91,166.76,172.91,5842,8846,6804.44
398,0,478,478.71,271,271.12,161.5,903,1014.0,0.89,70.04,61.39,12.17,13.94,5.76,4.4,0.17,9.87,7.26,5370,7729,6177.73
399,0,656,656.13,278,278.34,88.18,431,456.0,0.95,35.34,30.72,12.08,12.14,2.92,2.53,1.13,64.89,71.47,5610,7752,6244.23
400,0,959,959.32,270,270.42,92.28,455,479.0,0.95,38.05,33.11,13.0,11.93,2.93,2.78,0.05,3.01,179.07,5615,9762,7028.45
401,0,1576,1576.35,273,273.33,83.94,407,424.0,0.96,34.01,29.22,12.08,11.99,2.82,2.44,2.72,155.7,160.24,5679,8955,6738.3
402,0,1081,1081.4,273,273.5,120.53,632,693.0,0.91,51.62,46.26,10.2,12.47,5.06,3.71,2.99,171.09,174.37,5874,9807,7083.6
403,0,1306,1306.7,282,282.2,117.78,574,620.0,0.93,50.0,44.16,8.6,11.65,5.81,3.79,0.64,36.87,37.63,6104,9498,7299.07
404,0,773,773.49,287,287.65,101.7,496,530.0,0.94,41.77,37.43,11.18,11.62,3.74,3.22,1.76,101.04,97.17,5709,8636,6604.77
405,0,1392,1392.34,274,274.98,123.36,601,665.0,0.9,53.15,46.83,9.0,11.77,5.91,3.98,3.07,175.68,176.53,6038,9824,7302.96
